formula	comparison	target	gated_rank	comparator_rank	signed_displacement	absolute_displacement	shared_top10
四物汤	evidence_gated_vs_ungated_union	NOS3	54	54	0	0	False
四物汤	evidence_gated_vs_ungated_union	PIK3R1	55	55	0	0	False
四物汤	evidence_gated_vs_ungated_union	PINK1	56	56	0	0	False
四物汤	evidence_gated_vs_ungated_union	PKM	13	13	0	0	False
四物汤	evidence_gated_vs_ungated_union	PPARG	57	57	0	0	False
四物汤	evidence_gated_vs_ungated_union	PTGS2	22	22	0	0	False
四物汤	evidence_gated_vs_ungated_union	SERPINE1	58	58	0	0	False
四物汤	evidence_gated_vs_ungated_union	SNCA	1	1	0	0	True
四物汤	evidence_gated_vs_ungated_union	SST	59	59	0	0	False
四物汤	evidence_gated_vs_ungated_union	STAT3	27	27	0	0	False
四物汤	evidence_gated_vs_ungated_union	TGFBR1	60	60	0	0	False
四物汤	evidence_gated_vs_ungated_union	TLR4	61	61	0	0	False
四物汤	evidence_gated_vs_ungated_union	TNF	15	15	0	0	False
四物汤	evidence_gated_vs_ungated_union	TP53	23	23	0	0	False
四物汤	evidence_gated_vs_ungated_union	TRPA1	14	14	0	0	False
四物汤	evidence_gated_vs_ungated_union	TXNIP	62	62	0	0	False
四物汤	evidence_gated_vs_ungated_union	VEGFA	63	63	0	0	False
四物汤	evidence_gated_vs_ungated_union	VHL	64	64	0	0	False
四物汤	evidence_gated_vs_ungated_union	VWF	65	65	0	0	False
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA1	3	3	0	0	True
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA12	9	9	0	0	True
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA14	7	7	0	0	True
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA2	2	2	0	0	True
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA3	12	12	0	0	False
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA4	11	11	0	0	False
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA5A	4	4	0	0	True
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA5B	10	10	0	0	True
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA6	6	6	0	0	True
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA7	5	5	0	0	True
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	CA9	8	8	0	0	True
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	PKM	13	13	0	0	False
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	SNCA	1	1	0	0	True
四物汤	evidence_gated_vs_cutoff_chembl_measured_only	TRPA1	14	14	0	0	False
八珍汤	evidence_gated_vs_ungated_union	AKR1B1	13	13	0	0	False
八珍汤	evidence_gated_vs_ungated_union	APP	35	39	4	4	False
八珍汤	evidence_gated_vs_ungated_union	BACE1	37	41	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA1	20	24	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA12	29	33	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA14	27	31	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA2	18	22	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA3	32	36	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA4	31	35	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA5A	24	28	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA5B	30	34	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA6	26	30	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA7	25	29	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CA9	28	32	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CAT	42	16	-26	26	False
八珍汤	evidence_gated_vs_ungated_union	CHRNA7	33	37	4	4	False
八珍汤	evidence_gated_vs_ungated_union	CYP19A1	2	8	6	6	True
八珍汤	evidence_gated_vs_ungated_union	CYP1B1	21	25	4	4	False
八珍汤	evidence_gated_vs_ungated_union	EPO	43	17	-26	26	False
八珍汤	evidence_gated_vs_ungated_union	ESR1	17	21	4	4	False
八珍汤	evidence_gated_vs_ungated_union	ESR2	11	11	0	0	False
八珍汤	evidence_gated_vs_ungated_union	HDAC6	12	12	0	0	False
八珍汤	evidence_gated_vs_ungated_union	HMGB1	41	45	4	4	False
八珍汤	evidence_gated_vs_ungated_union	HSD11B1	1	1	0	0	True
八珍汤	evidence_gated_vs_ungated_union	HSD11B2	4	2	-2	2	True
八珍汤	evidence_gated_vs_ungated_union	HSD17B1	19	23	4	4	False
八珍汤	evidence_gated_vs_ungated_union	HSD17B2	14	14	0	0	False
八珍汤	evidence_gated_vs_ungated_union	IL2	23	27	4	4	False
八珍汤	evidence_gated_vs_ungated_union	MAOA	36	40	4	4	False
八珍汤	evidence_gated_vs_ungated_union	MAOB	3	9	6	6	True
八珍汤	evidence_gated_vs_ungated_union	MMP1	9	7	-2	2	True
八珍汤	evidence_gated_vs_ungated_union	MMP13	8	6	-2	2	True
八珍汤	evidence_gated_vs_ungated_union	MMP2	6	3	-3	3	True
八珍汤	evidence_gated_vs_ungated_union	MMP3	10	10	0	0	True
八珍汤	evidence_gated_vs_ungated_union	MMP7	5	4	-1	1	True
八珍汤	evidence_gated_vs_ungated_union	MMP9	7	5	-2	2	True
八珍汤	evidence_gated_vs_ungated_union	NLRP3	16	20	4	4	False
八珍汤	evidence_gated_vs_ungated_union	P4HB	38	42	4	4	False
八珍汤	evidence_gated_vs_ungated_union	PKM	34	38	4	4	False
八珍汤	evidence_gated_vs_ungated_union	PSMB5	22	26	4	4	False
八珍汤	evidence_gated_vs_ungated_union	SNCA	15	15	0	0	False
八珍汤	evidence_gated_vs_ungated_union	TDP1	40	44	4	4	False
八珍汤	evidence_gated_vs_ungated_union	TNF	44	18	-26	26	False
八珍汤	evidence_gated_vs_ungated_union	TRPA1	39	43	4	4	False
八珍汤	evidence_gated_vs_ungated_union	XIAP	45	19	-26	26	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	AKR1B1	13	11	-2	2	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	APP	35	35	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	BACE1	37	37	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA1	20	19	-1	1	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA12	29	29	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA14	27	27	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA2	18	17	-1	1	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA3	32	32	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA4	31	31	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA5A	24	23	-1	1	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA5B	30	30	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA6	26	26	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA7	25	25	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CA9	28	28	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CHRNA7	33	33	0	0	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CYP19A1	2	15	13	13	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	CYP1B1	21	20	-1	1	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	ESR1	17	16	-1	1	False
八珍汤	evidence_gated_vs_cutoff_chembl_measured_only	ESR2	11	9	-2	2	False
